"Full-Time Head of Sales","Company Name","Job Title","Location","Company Domain","Job LinkedIn URL","Posted On","Enrich Company","Employee Count","Founded","Follower Count","Sales Hiring Opener"
,"Confidential Jobs","Head of Sales","Shanghai, China","execthread.com","https://www.linkedin.com/jobs/view/head-of-sales-at-confidential-jobs-4392318914","2026-03-29T05:55:33.000Z","Confidential Jobs",2419,,1480518,"Congrats on hiring a Head of Sales — can I help you accelerate revenue across your 2,419 employees?"
,"Cambio","Head of Sales","New York, NY","cambio.ai","https://www.linkedin.com/jobs/view/head-of-sales-at-cambio-4389895414","2026-03-25T05:58:30.000Z","Cambio",70,,6743,"Congrats on hiring a Head of Sales—I'd love to discuss scaling Cambio's revenue with your growing team."
,"Technip Energies","Head of Sales","London, England, United Kingdom","ten.com","https://www.linkedin.com/jobs/view/head-of-sales-at-technip-energies-4401484122","2026-05-07T14:27:53.000Z","Technip Energies",18509,,822244,"Technip Energies — a global engineering and technology company focused on energy transition with ~17–18k employees — has an active Head of Sales hiring signal (LinkedIn job posting); the opener references this specific hiring intent, offers a brief, low-commitment conversation, and positions the outreach around accelerating new-client wins for an enterprise-scale engineering firm."
,"SolarSquare","Head of Sales","Maharashtra, India","solarsquare.link","https://www.linkedin.com/jobs/view/head-of-sales-at-solarsquare-4404733417","2026-04-23T07:16:43.000Z","SolarSquare",2275,,237215,"With SolarSquare scaling to 2,275 employees, I noticed you're hiring a Head of Sales to lead your residential solar expansion."
,"Hyphen Partners","Head of Sales","Singapore, Singapore","hyphen-partners.com","https://www.linkedin.com/jobs/view/head-of-sales-at-hyphen-partners-4404010721","2026-04-20T02:16:42.000Z","Hyphen Partners",11,,62682,"Saw Hyphen Partners is hiring a Head of Sales—congrats; can I share a proven hiring playbook to fill it faster?"
,"Escape","Head of Sales","New York, NY","escape.tech","https://www.linkedin.com/jobs/view/head-of-sales-at-escape-4366006393","2026-01-27T13:27:19.000Z","Escape",60,,7170,"Congrats on hiring a Head of Sales — how will Escape, now 60 strong, scale its sales engine?"
,"Acutronic Group","Head of Sales","Pittsburgh, PA","acutronic.com","https://www.linkedin.com/jobs/view/head-of-sales-at-acutronic-group-4383037426","2026-03-12T00:00:00.000Z","Acutronic Group",262,1973,8415,"Noticed you're hiring a Head of Sales—can I share how we accelerate revenue for precision motion tech?"
,"RHB Banking Group","Head of Sales","Jakarta Metropolitan Area","myworkdayjobs.com","https://www.linkedin.com/jobs/view/head-of-sales-at-rhb-banking-group-4410003905","2026-05-04T06:49:27.000Z","RHB Banking Group",10955,,222337,"Saw RHB is hiring a Head of Sales — would love to discuss accelerating your sales team's impact."
,"Ominimo Insurance","Head of Sales","Brussels, Brussels Region, Belgium","ominimo.ai","https://www.linkedin.com/jobs/view/head-of-sales-at-ominimo-insurance-4347220904","2025-11-21T21:45:24.000Z","Ominimo Insurance",71,,2714,"Given Ominimo Insurance's growth to 71 employees, I noticed you're hiring a Head of Sales to lead your Belgian broker network."
,"C&M Travel Recruitment","Head of Sales","London Area, United Kingdom","candm.co.uk","https://www.linkedin.com/jobs/view/head-of-sales-at-c-m-travel-recruitment-4404426798","2026-04-22T16:46:26.000Z","C&M Travel Recruitment",68,1998,127477,"Noticed you're hiring a Head of Sales—how will C&M scale revenue across your 68-strong team?"
,"Randstad India","Head of Sales","Bengaluru, Karnataka, India","randstad.in","https://www.linkedin.com/jobs/view/head-of-sales-at-randstad-india-4404679143","2026-04-27T08:28:07.000Z","Randstad India",4610,,781132,
,"Integrity Asia","Head of Sales","Jakarta Metropolitan Area","integrity-asia.com","https://www.linkedin.com/jobs/view/head-of-sales-at-integrity-asia-4322220641","2025-11-12T12:50:00.000Z","Integrity Asia",59,2001,3528,
,"The Better Butchers","Head Of Sales","Victoria, British Columbia, Canada","thebetterbutchers.com","https://www.linkedin.com/jobs/view/head-of-sales-at-the-better-butchers-4407954110","2026-05-01T18:35:29.000Z","The Better Butchers",4,2022,762,
,"CD Recruitment","Head of Sales","San Francisco Bay Area","cdsr.com","https://www.linkedin.com/jobs/view/head-of-sales-at-cd-recruitment-4402508734","2026-04-27T06:41:50.000Z","CD Recruitment",170,1998,111039,
,"PHMG","Head of Sales","Manchester, England, United Kingdom","phmg.com","https://www.linkedin.com/jobs/view/head-of-sales-at-phmg-4389069460","2026-04-07T16:11:13.000Z","PHMG",1087,1998,91619,
,"Classified Cycling","Head of Sales","Antwerp, Flemish Region, Belgium","classified-cycling.cc","https://www.linkedin.com/jobs/view/head-of-sales-at-classified-cycling-4409008222","2026-04-30T14:32:24.000Z","Classified Cycling",35,2019,10877,
,"Accelerate Sverige","Head of Sales","Linköping, Östergötland County, Sweden","accelerate-iver.se","https://www.linkedin.com/jobs/view/head-of-sales-at-accelerate-sverige-4405316390","2026-04-24T10:05:50.000Z","Accelerate Sverige",92,2023,3544,
,"Naiz Fit","Head of Sales","Madrid, Community of Madrid, Spain","naiz.fit","https://www.linkedin.com/jobs/view/head-of-sales-at-naiz-fit-4175574856","2025-12-04T09:53:17.000Z","Naiz Fit",23,2017,2268,
,"TRIA","Head of Sales","London Area, United Kingdom","triarecruitment.com","https://www.linkedin.com/jobs/view/head-of-sales-at-tria-4404689822","2026-04-27T11:04:53.000Z","TRIA",81,2015,201668,
,"JBM","Head of Sales","London Area, United Kingdom","jbmc.co.uk","https://www.linkedin.com/jobs/view/head-of-sales-at-jbm-4406964866","2026-04-29T10:39:14.000Z","JBM",224,2012,41406,
